task_id,hash,native_id,name,status,exit,submit,duration,realtime,%cpu,peak_rss,peak_vmem,rchar,wchar
1,68/a872a1,4026,find (1),COMPLETED,0,2021-06-15 14:14:27.112,7.4s,5.9s,70.2%,134 MB,577.3 MB,24.5 MB,110.9 KB
2,9e/957e20,4405,find (2),COMPLETED,0,2021-06-15 14:14:34.630,5.8s,5.2s,79.8%,133.9 MB,576.9 MB,24.5 MB,108.3 KB
3,21/78a0f0,4810,find (3),COMPLETED,0,2021-06-15 14:14:40.433,6.2s,5.3s,74.6%,131.4 MB,576.9 MB,24.5 MB,103.9 KB
4,7e/3fa330,5229,find (4),COMPLETED,0,2021-06-15 14:14:46.638,5.7s,5.3s,77.6%,132.4 MB,581.2 MB,24.5 MB,106.2 KB
5,41/d9781f,5611,find (5),COMPLETED,0,2021-06-15 14:14:52.409,5.3s,4.9s,78.6%,132.3 MB,577.3 MB,24.5 MB,101.1 KB
7,59/2fe520,5967,find (7),COMPLETED,0,2021-06-15 14:14:57.694,5.1s,4.7s,78.8%,134.1 MB,577.3 MB,24.5 MB,96.6 KB
6,ea/c072a4,6367,find (6),COMPLETED,0,2021-06-15 14:15:02.781,5.1s,4.8s,79.2%,132.2 MB,577.3 MB,24.5 MB,99.3 KB
8,31/d583da,6719,find (8),COMPLETED,0,2021-06-15 14:15:07.927,5s,4.6s,78.6%,133.7 MB,576.9 MB,24.5 MB,94.8 KB
9,2c/de61c4,7075,find (9),COMPLETED,0,2021-06-15 14:15:12.949,4.9s,4.5s,77.9%,133.6 MB,576.9 MB,24.5 MB,92.1 KB
10,10/6382d5,7424,find (10),COMPLETED,0,2021-06-15 14:15:17.839,4.8s,4.5s,77.6%,131.7 MB,576.9 MB,24.5 MB,90.4 KB
11,b3/08f973,7777,find (11),COMPLETED,0,2021-06-15 14:15:22.646,4.7s,4.4s,77.2%,134.2 MB,577.3 MB,24.5 MB,87.7 KB
12,d4/3407a7,8127,find (12),COMPLETED,0,2021-06-15 14:15:27.379,4.6s,4.2s,76.6%,131.9 MB,576.9 MB,24.5 MB,85 KB
13,56/e181d5,8477,find (13),COMPLETED,0,2021-06-15 14:15:32.040,4.5s,4.2s,75.4%,132.4 MB,577.3 MB,24.5 MB,82.7 KB
14,22/f9ce96,8830,find (14),COMPLETED,0,2021-06-15 14:15:36.603,4.5s,4.1s,76.0%,132 MB,581.3 MB,24.5 MB,80.4 KB
